"state","income16","income14","income12","gopshare10","gopshare12","gopshare14","gopshare16","VEPtotal14","VEPtotal12","VEPtotal10","hispsh16","hispsh14","hispsh12","ballots16","VEP16","ballots14","VEP14","ballots12","VEP12","religsh"
"North Dakota","60184","60730","55766",0.54920793419761,0.568283380530684,0.59073137763177,0.744312994461711,0.45,0.604,0.466,0.0312390479269509,0.0258892790013122,0.0209906647364226,349945,566783,255128,567221,325564,539164,0.23
"Ohio","53985","49644","44375",0.560308466789495,0.520650087091848,0.600209116390048,0.581689881061015,0.362,0.651,0.462,0.0346020576095106,0.0328312737124558,0.0307719359181436,5607641,8736808,3149876,8701243,5632423,8649495,0.3
"Oklahoma","50943","47199","48407",0.700664437938368,0.676195316273094,0.724490054398419,0.719184774508379,0.3,0.496,0.391,0.0984281356975675,0.0937234786065233,0.0883052970054721,1459812,2778219,825607,2755091,1341137,2713268,0.48
"Oregon","59135","58875","51775",0.4725390829531,0.420054607666936,0.428279531655019,0.415813442791759,0.534,0.642,0.539,0.124252341693814,0.121458292257886,0.117261303415395,2056310,3024174,1541782,2887517,1820507,2836101,0.33
"Pennsylvania","60979","55173","51904",0.51939856197625,0.492416974464751,0.555382196855973,0.541195473469314,0.365,0.599,0.424,0.065954749449252,0.0614921752785877,0.0568442805511265,6252899,9691160,3535576,9689491,5823457,9651432,0.2
"Rhode Island","61528","58633","56065",0.406032712641766,0.410349590096426,0.388976757306726,0.348977445020076,0.424,0.584,0.454,0.140707696888831,0.132762149988797,0.124769233546578,469589,786012,329212,776286,451926,768918,0.15
"South Carolina","54336","44929","44401",0.583875377055655,0.589620874321964,0.617891404443196,0.605331538638719,0.352,0.568,0.403,0.0534399397675715,0.0525586315831559,0.0503041778042313,2123584,3709283,1261611,3584461,1981516,3486838,0.36
"South Dakota","57450","53053","49415",0.511845137399598,0.57449734249327,0.665296269890959,0.641027858789695,0.447,0.601,0.539,0.0342949599204755,0.0316985101376769,0.0279186292931113,378995,631173,282291,630989,368270,613190,0.26
"Tennessee","51344","43716","42995",0.638163042352525,0.632278199046663,0.654334073093665,0.647223193514856,0.298,0.523,0.351,0.0499915317770638,0.0480251853677478,0.0454229079840698,2545271,4909426,1430117,4799476,2479733,4736084,0.53
"Texas","58146","53875","51926",0.678341514073987,0.600239593341799,0.645550626555809,0.606807669435964,0.29,0.5,0.327,0.386295517192834,0.381827012099824,0.376044616311455,8975000,17448910,4770064,16675420,8066322,16119973,0.32
"Utah","67481","63383","58341",0.641769190994821,0.666411227527356,0.656721388148356,0.666060874178244,0.303,0.561,0.368,0.134958403243492,0.132763912948098,0.129379195461843,1152369,1991885,577973,1905801,1028786,1833339,0.62
"Vermont","60837","60708","55582",0.331597290036414,0.244594286293696,0.325154146218699,0,0.408,0.612,0.498,0.0174052174135208,0.0163261265921406,0.0151111594281676,320467,494871,202445,495884,301793,493355,0.12
"Virginia","66451","66155","64632",0.565558879542097,0.509603599014442,0.574837939252726,0.497783081193031,0.368,0.666,0.391,0.0872521945955989,0.0839650581035294,0.0788112971314249,4017205,6027152,2194346,5962456,3888186,5834676,0.32
"Washington","70310","59068","62187",0.466826063426422,0.455561816552494,0.446662396531336,0.371467721502624,0.431,0.658,0.543,0.120777232648669,0.117405936957494,0.111945098129999,3363440,5123020,2124330,4928407,3172939,4822060,0.28
"West Virginia","44354","39552","43553",0.554045273240407,0.599127782784546,0.570935818126671,0.664734280755109,0.32,0.467,0.372,0.0142176012896432,0.012978718698773,0.0119028512046327,727827,1423031,462864,1447652,683017,1447066,0.41
"Wisconsin","59817","58080","53079",0.55395017512881,0.492444705146803,0.55999158757739,0.455990208640659,0.569,0.658,0.524,0.0645035672842035,0.0620630769306017,0.0589405823830593,2992386,4285071,2422248,4260427,3084115,4209370,0.23
"Wyoming","57829","55690","57512",0.742048932248956,0.743006360897221,0.749385114126796,0.674212793880212,0.397,0.59,0.46,0.0967121704066179,0.0941867115398322,0.0893971780534219,258788,429682,171153,431434,250701,425142,0.36
